url,Course Title,Course Headline,Instructor,off_price,orig_price,Rating,Number of Ratings,Course Length,Number of Lectures,Difficulity,Subscribers
https://www.udemy.com/course/git-with-visual-studio-code/,Git with Visual Studio Code,"An introduction to Version Control using Git, GitHub and Visual Studio Code",Alex Horea,14.99,19.99,4.4,319,1,12,Beginner,21761 
https://www.udemy.com/course/arm-mbed/,Embedded Systems using the ARM Mbed Platform,Learn how to implement different electronic interfaces using the revolutionary mbed platform from ARM.,"Eduvance (Microchip Certified Trainer, AUP Trainer, CUA Trainer)",14.99,74.99,4.2,320,4.5,20,All Levels,4654 
https://www.udemy.com/course/website-hacking-and-bug-bounty-course/,Website Hacking Course™: Earn Money by doing Bug Bounty,"Learn from the most updated course on udémy, which is made for those people, who wants to earn by doing the bug bounty.",Parvinder Yadav,14.99,89.99,3.4,319,1,15,Intermediate,2546 
https://www.udemy.com/course/mastering-agile-project-delivery-and-scrum/,Mastering Agile Project Delivery and SCRUM,Jetpack your Agile career within an hour,Jitender Batra,14.99,19.99,4.1,319,1,12,Intermediate,5342 
https://www.udemy.com/course/cyber-security-manage-network-security-with-pfsense-firewall/,Security: Manage Network Security With pfSense Firewall,"Use an open source firewall to protect your network. Use features like Failover, Load Balancer, OpenVPN, IPSec, Squid","TetraNoodle Team, Manuj Aggarwal",14.99,89.99,4.2,319,4,48,All Levels,4574 
https://www.udemy.com/course/network-infrastructure-hacking/,Infrastructure & Network: Bug Bounty and Penetration Testing,"Learn how to hack networks and web applications like black hat hackers, and learn how to secure them from these hackers.",Gabriel Avramescu,14.99,89.99,4.4,319,7,44,All Levels,4694 
https://www.udemy.com/course/create-own-cryptocurrency/,Create Your Own Cryptocurrency Just Like Bitcoin or Litecoin,"Mine-able Cryptocurrency.Also learn How to Setup Explorer, Mining Pool, Desktop Wallet and coin API",Shailendra Bramhvanshi,14.99,24.99,4.5,319,1.5,29,Beginner,1498 
https://www.udemy.com/course/full-ethical-hacking-course/,Full Ethical Hacking Course,Learn all about ethical hacking and penetration testing.,Loi Liang Yang,14.99,89.99,4.5,318,14,86,Beginner,2486 
https://www.udemy.com/course/arduino-for-industrial-automation-plc-and-hmi-integration/,PLC At Home - For Electrical and Control Engineers,"Design from A-Z control projects using Arduino, Soft PLC, HMI, VFD, ModBus TCP and Electrical panel with full simulation",Mouhammad Hamsho,17.99,89.99,4.9,318,7.5,67,All Levels,2087 
https://www.udemy.com/course/how-to-make-money-using-flight-booking-and-hotel-affiliation/,Affiliate Marketing A Set and Forget Passive Income Method,In this course you will learn how to Make Money with Affiliate Marketing,"Money Makers Academy, Ashraf Said",14.99,89.99,3.9,318,2,28,Beginner,39681 
https://www.udemy.com/course/linux-heap-exploitation-part-1/,Linux Heap Exploitation - Part 1,Learn hands-on GLIBC heap exploitation with HeapLAB.,Max Kamper,14.99,89.99,4.9,318,5,22,Intermediate,2196 
